iter	Passed	Remaining
0	59	59243
1	59	29765
2	59	19921
3	60	15003
4	60	12051
5	60	10090
6	61	8706
7	61	7650
8	62	6829
9	62	6170
10	62	5633
11	62	5185
12	63	4804
13	63	4479
14	63	4194
15	64	3945
16	64	3726
17	64	3532
18	65	3358
19	65	3201
20	65	3059
21	65	2931
22	66	2814
23	66	2707
24	66	2608
25	67	2516
26	67	2431
27	67	2352
28	68	2278
29	68	2210
30	68	2145
31	68	2085
32	69	2029
33	69	1976
34	69	1926
35	70	1878
36	70	1834
37	70	1792
38	71	1752
39	71	1714
40	71	1678
41	72	1643
42	72	1610
43	72	1578
44	72	1548
45	73	1519
46	73	1491
47	73	1464
48	74	1439
49	74	1415
50	74	1392
51	75	1369
52	75	1347
53	75	1326
54	76	1306
55	76	1287
56	76	1268
57	77	1250
58	77	1233
59	77	1216
60	77	1200
61	78	1184
62	78	1168
63	78	1153
64	79	1138
65	79	1124
66	79	1110
67	79	1094
68	80	1080
69	80	1068
70	80	1055
71	80	1043
72	81	1032
73	81	1020
74	81	1009
75	82	998
76	82	988
77	82	977
78	83	968
79	83	958
80	83	949
81	83	939
82	84	930
83	84	922
84	84	911
85	85	903
86	85	893
87	85	885
88	85	877
89	86	870
90	86	862
91	86	854
92	86	847
93	87	841
94	87	835
95	87	828
96	88	821
97	88	814
98	88	808
99	89	801
100	89	795
101	89	787
102	89	781
103	90	775
104	90	769
105	90	763
106	90	758
107	91	753
108	91	747
109	91	742
110	92	737
111	92	731
112	92	726
113	92	721
114	93	716
115	93	711
116	93	706
117	93	701
118	94	696
119	94	691
120	94	687
121	94	682
122	95	677
123	95	672
124	95	668
125	95	664
126	96	660
127	96	655
128	96	651
129	96	647
130	97	644
131	97	640
132	97	636
133	97	633
134	98	629
135	98	626
136	98	622
137	99	618
138	99	615
139	99	611
140	99	608
141	100	605
142	100	602
143	100	598
144	100	595
145	101	592
146	101	589
147	101	586
148	102	583
149	102	580
150	102	577
151	102	574
152	103	571
153	103	568
154	103	565
155	103	562
156	104	559
157	104	557
158	104	554
159	105	551
160	105	549
161	105	546
162	105	544
163	106	541
164	106	538
165	106	536
